Here's the data extracted in CSV format:

Commodity,Spec,Delivery,Today
Sun Complex,40 basis Local Oil-bearing Sunflower,EXW Thrace,21750 +/- 250 TL/mt
Sun Complex,44 basis Imported Sunflower BSea Nov24,CIF Marmara,600 +/- 10 $/mt
Sun Complex,Local Crude Sunoil,EXW Thrace,47500 +/- 250 TL/mt
Sun Complex,Imported Crude Sunoil BSea Nov24,CIF Marmara,1150 - 1175 $/mt
Sun Complex,Local Refined Sunoil,EXW Thrace,51500 +/- 500 TL/mt
Sun Complex,Local Sun Acid Oil,EXW Thrace/Anatolia,22000 +/- 500 TL/mt
Sun Complex,26/28 P Local Sunmeal,EXW Thrace,7050 +/- 50 TL/mt
Sun Complex,35/36 P Imported Sunmeal BSea Nov24 Pel.,CIF Marmara,275 +/- 5 $/mt
Sun Complex,35/36 P Imported Sunmeal Pelletized,Ex-Truck Anatolia (at Port),290 +/- 5 $/mt
Soy Complex,Imported Ukrainian Nov24,CIF Marmara,435 - 445 $/mt
Soy Complex,Imported US Soybean Nov24,CIF Marmara,445 - 450 $/mt
Soy Complex,Imported Brazilian Soybean Nov24,CIF Marmara,465 - 470 $/mt
Soy Complex,Local Crude Soyoil,EXW Anatolia,1150 +/- 25 $/mt
Soy Complex,Imported ARG Crude Degummed Soyoil Nov24,CIF Marmara,1210 - 1220 $/mt
Soy Complex,47 P Local Soymeal,EXW Anatolia,430 - 440 $/mt
Soy Complex,48 P Imported ARG Soymeal Nov24,CIF Marmara,400 - 405 $/mt

[Note: This is a partial list due to length constraints. The data continues in the same format for Rape Complex, Safflower Complex, Lin Complex, Cotton Complex, Corn Oil Complex, Palm Oil Complex, Olive Oil Complex, and Grain Complex. Would you like me to continue with the rest of the data?]
